Ecotype Number,Sequence 1,Sequence 2,Sequence 3,Sequence 4,Sequence 5,Sequence 6,Sequence 7,Sequence 8,Sequence 9,Sequence 10,Sequence 11,Sequence 12,Sequence 13,Sequence 14,Sequence 15,Sequence 16,Sequence 17,Sequence 18,Sequence 19,Sequence 20
1,GN_B20,GS_B10,GN_B19,GN_C1,GN_C9,GN_B1,GN_B8,CS_C3,GS_A3,CN_A1,GN_C10,GN_A4,GN_B21,GN_B14,GN_B18,GN_B7
2,GN_C8,GA_E3,GN_A2,GA_C1,GN_B10,GN_B6,GN_B12,GN_B15,GN_C6,GN_B2,GN_C12,GN_B9,GA_E5,GS_A8,GN_A5
3,CN_D4
4,GS_A4
5,CS_A1,GA_E1,CN_A2,GA_A5,GS_A7,GN_C5,GS_C4,GA_B12,GN_C2,GA_B8,CN_D2,GN_B16,GN_B5,GA_B11,GN_C3,GN_C4
6,GN_C11,CN_D3,GS_B2,CN_B1,CN_C2,GA_A1,GN_B4,GN_C7,GS_A5,GS_B4,GS_B1,CN_D1,CS_B1,CS_C2,CS_C4,GA_B7,GA_B1,GA_B3,CS_C5,GS_A9
7,GN_B3
8,GA_E4,GN_A1
9,CS_C1
10,GS_C5
11,GS_B5
12,GA_D5,GA_D1,CS_C6,CN_B2,GA_A3,GA_B2,GA_B5,GA_C3,GA_B6,GS_A1
13,GA_B9,GA_B4
14,GS_C3
15,GA_C4
16,GA_A2
17,GS_C7
OutgroupCS_25
Recombinants
