Ecotype Number,Sequence 1,Sequence 2,Sequence 3,Sequence 4,Sequence 5,Sequence 6,Sequence 7,Sequence 8,Sequence 9,Sequence 10,Sequence 11,Sequence 12,Sequence 13
0,CN_C2,GN_C11,GS_B2,GS_B1,GS_B4,CN_A2,GS_A5,GA_E1,GN_B4,GN_B3,GN_C7,CS_A1
1,GA_B12,GA_B11,GS_C4,GA_B8,GS_A7,GN_B5,GN_C4,GN_C5,GN_C2,GN_C3,GN_B16,CN_D2,GA_A5
2,GA_C4,GS_C3,GS_C5,GS_C7,GS_B5,GA_B4,GA_B5,GA_B6,GA_B2,GA_B9,GS_A1,CS_C6
3,GA_C1,GN_A4,GN_A5,GN_A2,GN_C10,GN_C12,CN_A1,GS_A4,GS_A3,GS_A8,CS_C3,GA_E3,GA_E5
4,GA_B7,GA_B1,GA_B3,GS_A9,CS_C5,CS_C4,CS_C2,CS_B1,CN_D1
5,GN_A1,CS_C1,GA_E4
6,CS_25
